show_id,title,type,genre,language,release_year,imdb_rating,duration_mins,is_original,total_views
1,Dicta Show,TV Show,Sci-Fi,Tamil,1990,5.3,103,False,904720
2,Quisquam Show,TV Show,Action,Hindi,1992,8.9,68,True,765471
3,Et Show,TV Show,Drama,Hindi,2007,6.4,45,False,607006
4,Expedita Show,TV Show,Romance,Telugu,2003,3.7,61,True,5857
5,Magnam Show,Movie,Thriller,Tamil,2020,6.6,92,True,753881
6,Nisi Show,Movie,Action,Telugu,2016,4.0,122,False,12166
7,Quo Show,Movie,Thriller,Bengali,2006,9.7,74,False,909926
8,Soluta Show,Movie,Thriller,Tamil,2018,7.2,82,True,253565
9,Asperiores Show,TV Show,Comedy,Hindi,2015,5.1,79,False,270642
10,Iste Show,Movie,Sci-Fi,Telugu,2006,7.1,55,False,694167
11,Quo Show,Movie,Action,Hindi,2011,4.0,160,True,157495
12,Autem Show,Movie,Horror,Bengali,2014,8.5,119,True,446311
13,Amet Show,Movie,Romance,English,1991,9.3,68,True,107371
14,Quis Show,TV Show,Thriller,English,2011,9.0,82,False,569468
15,Veniam Show,TV Show,Action,Telugu,1994,5.7,51,False,304272
16,Ad Show,TV Show,Action,Hindi,1993,5.6,163,True,613908
17,Cum Show,TV Show,Thriller,Bengali,1995,3.7,81,True,755648
18,Maiores Show,Movie,Comedy,Bengali,2010,7.6,104,False,100411
19,Esse Show,TV Show,Action,Telugu,2002,6.9,102,False,585199
20,Enim Show,Movie,Sci-Fi,Tamil,2014,6.4,58,False,582738
21,Officia Show,TV Show,Comedy,Bengali,2015,9.2,151,False,46940
22,Hic Show,TV Show,Drama,Tamil,2009,4.6,115,True,57584
23,Eius Show,Movie,Drama,Hindi,2022,3.6,75,False,454265
24,Itaque Show,Movie,Action,Hindi,2003,4.0,33,True,666630
25,Necessitatibus Show,Movie,Romance,English,2006,4.9,31,False,787163
26,Officia Show,Movie,Horror,Hindi,2010,3.7,162,True,979466
27,Adipisci Show,Movie,Drama,Tamil,2005,6.7,75,True,267486
28,Delectus Show,Movie,Drama,Telugu,2005,5.5,108,False,831365
29,Tempora Show,TV Show,Horror,Tamil,2009,4.6,176,False,854521
30,Ullam Show,TV Show,Comedy,Tamil,2018,8.2,88,False,723898
31,Odio Show,Movie,Romance,Bengali,2017,4.8,101,True,680848
32,Porro Show,TV Show,Sci-Fi,Hindi,1997,7.8,49,False,97279
33,Doloremque Show,Movie,Horror,Bengali,2013,5.7,82,True,640473
34,Quaerat Show,TV Show,Comedy,English,1992,6.7,136,False,579389
35,Officia Show,Movie,Action,English,2014,9.4,84,False,439575
36,Aut Show,TV Show,Sci-Fi,English,2008,3.7,150,True,657781
37,Ipsum Show,Movie,Drama,Hindi,2022,6.7,44,False,201082
38,Modi Show,TV Show,Horror,Telugu,1991,8.9,30,False,718115
39,Maiores Show,Movie,Comedy,Hindi,2004,7.2,124,True,645956
40,Sequi Show,TV Show,Romance,Tamil,2011,5.2,166,False,316669
41,Non Show,TV Show,Documentary,English,1999,6.0,47,False,26117
42,Unde Show,Movie,Sci-Fi,Tamil,2007,7.8,134,True,843894
43,Sit Show,Movie,Horror,Hindi,2011,9.1,94,False,730876
44,Maxime Show,Movie,Romance,Hindi,2016,3.8,106,False,377217
45,Officiis Show,TV Show,Documentary,Bengali,2002,4.0,145,True,255307
46,Voluptatem Show,Movie,Drama,Hindi,2022,5.5,98,True,121331
47,Repellendus Show,TV Show,Drama,Telugu,1994,5.0,171,False,701294
48,Vel Show,Movie,Horror,Telugu,2015,5.2,104,True,338098
49,Impedit Show,TV Show,Documentary,Bengali,2002,4.9,80,True,320737
50,Libero Show,TV Show,Romance,Bengali,2016,4.7,44,False,144462
51,Possimus Show,Movie,Action,Telugu,2003,4.3,98,False,784827
52,Laboriosam Show,TV Show,Comedy,Bengali,2013,9.4,44,True,285706
53,Reiciendis Show,Movie,Drama,Tamil,1992,4.4,59,True,749867
54,Laboriosam Show,Movie,Drama,Hindi,2019,4.8,107,True,881513
55,Similique Show,Movie,Documentary,Tamil,2003,5.1,64,True,427515
56,Reiciendis Show,TV Show,Horror,Telugu,2001,9.4,98,False,976406
57,Maxime Show,TV Show,Drama,Hindi,2017,8.3,169,False,756283
58,Maxime Show,TV Show,Horror,Hindi,2018,8.5,75,False,674035
59,Alias Show,Movie,Drama,Telugu,2006,4.2,155,False,872476
60,Laboriosam Show,Movie,Romance,English,2010,8.8,114,True,907000
61,Iste Show,Movie,Horror,English,2012,6.1,77,True,37881
62,Totam Show,TV Show,Action,Tamil,2009,5.2,96,True,10319
63,Excepturi Show,Movie,Horror,Hindi,2000,7.1,118,False,439423
64,Voluptas Show,TV Show,Comedy,Hindi,2023,8.7,81,True,267055
65,Suscipit Show,Movie,Romance,Telugu,1999,8.4,51,True,752268
66,Molestias Show,TV Show,Sci-Fi,Telugu,1999,9.1,128,True,40927
67,Deleniti Show,TV Show,Action,Tamil,1995,9.3,160,False,636752
68,Recusandae Show,Movie,Drama,Bengali,2013,5.0,117,True,604549
69,Voluptatum Show,Movie,Thriller,Hindi,2001,6.2,165,False,100411
70,Suscipit Show,TV Show,Action,Telugu,2012,3.6,147,True,825627
71,Blanditiis Show,TV Show,Thriller,Tamil,2016,9.0,68,True,841854
72,Numquam Show,Movie,Thriller,Bengali,1995,4.5,47,False,898572
73,Cum Show,Movie,Drama,Bengali,1990,8.9,134,False,310705
74,In Show,Movie,Horror,Hindi,1995,5.6,160,True,367944
75,Quam Show,TV Show,Horror,Bengali,2011,5.8,175,False,395903
76,Maiores Show,TV Show,Drama,English,2013,3.7,109,False,170827
77,Illo Show,TV Show,Romance,English,2014,5.6,146,False,283999
78,Autem Show,TV Show,Comedy,Bengali,2004,9.1,30,False,29879
79,Ratione Show,TV Show,Thriller,English,2015,3.7,146,False,154137
80,Et Show,TV Show,Comedy,Telugu,1997,6.1,157,False,279235
81,Soluta Show,TV Show,Horror,Hindi,2013,3.7,55,True,144819
82,Laborum Show,Movie,Horror,Tamil,1995,5.8,41,True,430459
83,Dolorem Show,TV Show,Horror,Tamil,1990,4.6,67,False,442902
84,Voluptas Show,Movie,Horror,Telugu,2001,5.1,114,False,445900
85,Ipsam Show,Movie,Thriller,Hindi,2000,9.0,82,False,283745
86,Delectus Show,Movie,Action,Telugu,2001,6.2,42,True,515841
87,Ut Show,TV Show,Comedy,Hindi,1996,5.2,157,False,429013
88,Maiores Show,TV Show,Documentary,Telugu,2000,7.2,105,True,501855
89,Dicta Show,TV Show,Comedy,Telugu,2020,4.4,42,False,881890
90,Assumenda Show,TV Show,Sci-Fi,Hindi,2022,5.1,175,False,645934
91,Odit Show,Movie,Sci-Fi,Tamil,2002,6.9,176,True,366866
92,Velit Show,Movie,Horror,Telugu,2007,5.0,176,False,793622
93,Quia Show,Movie,Horror,Bengali,2013,7.8,77,False,418364
94,Tenetur Show,TV Show,Romance,Telugu,1998,6.6,100,False,114962
95,Provident Show,Movie,Sci-Fi,Tamil,2020,8.4,121,False,653159
96,Dolorem Show,TV Show,Drama,English,1999,9.5,176,True,864903
97,Autem Show,TV Show,Comedy,Telugu,1991,4.2,115,False,569838
98,Mollitia Show,Movie,Comedy,English,2004,5.6,112,False,474332
99,Totam Show,TV Show,Comedy,Bengali,1992,5.5,77,False,438974
100,Ipsam Show,Movie,Documentary,Bengali,2020,4.5,58,True,502459
101,Consequatur Show,TV Show,Drama,English,1995,8.6,48,True,988859
102,Atque Show,Movie,Romance,Hindi,1992,8.3,128,True,137991
103,Similique Show,TV Show,Thriller,Hindi,2000,6.6,76,True,681153
104,Suscipit Show,Movie,Drama,English,2004,6.9,118,True,462562
105,Voluptatum Show,Movie,Romance,Tamil,2017,3.9,89,True,299327
106,Ea Show,Movie,Thriller,Bengali,1999,7.0,177,False,875304
107,Consectetur Show,Movie,Horror,Bengali,1996,8.5,176,False,186657
108,In Show,Movie,Romance,English,2004,7.1,71,False,527004
109,Minima Show,TV Show,Romance,English,2007,5.2,106,True,521795
110,Porro Show,TV Show,Sci-Fi,Hindi,2007,7.7,105,False,746177
111,Impedit Show,TV Show,Comedy,Bengali,2013,5.8,172,True,656649
112,Voluptatum Show,Movie,Action,Bengali,1991,6.9,97,True,792129
113,Impedit Show,TV Show,Action,Bengali,2009,6.6,108,True,966603
114,Ipsum Show,TV Show,Comedy,Telugu,2023,5.9,104,False,651436
115,Distinctio Show,Movie,Documentary,Hindi,2015,8.0,116,False,618143
116,Assumenda Show,TV Show,Thriller,Hindi,1996,9.1,44,True,64041
117,Enim Show,Movie,Comedy,Telugu,2019,3.5,119,True,770439
118,Animi Show,TV Show,Sci-Fi,English,1994,9.4,36,True,853577
119,Vel Show,TV Show,Horror,Tamil,2000,6.7,42,False,134425
120,Deleniti Show,Movie,Comedy,Tamil,1990,7.9,42,False,804351
121,Pariatur Show,Movie,Action,Tamil,2023,8.9,177,False,479427
122,Suscipit Show,Movie,Comedy,Tamil,1990,6.4,39,True,21141
123,Molestiae Show,TV Show,Comedy,Hindi,2008,8.8,153,False,918378
124,Soluta Show,Movie,Comedy,Telugu,1991,4.6,155,True,599772
125,Fuga Show,TV Show,Action,Bengali,2010,4.5,56,True,115289
126,Officiis Show,Movie,Sci-Fi,Telugu,2009,7.6,129,True,860125
127,Eligendi Show,TV Show,Documentary,Hindi,2012,9.0,45,True,660209
128,Alias Show,TV Show,Thriller,English,2010,9.1,88,False,435053
129,Quam Show,Movie,Sci-Fi,Telugu,2013,7.6,50,False,632137
130,Quo Show,TV Show,Comedy,Hindi,1993,6.8,45,True,480966
131,Dicta Show,TV Show,Comedy,English,2001,5.6,42,True,701211
132,In Show,TV Show,Documentary,Tamil,2011,9.7,62,True,169170
133,Aspernatur Show,Movie,Romance,Hindi,2009,5.5,98,True,124185
134,Eaque Show,TV Show,Documentary,Bengali,2007,8.2,81,False,235605
135,Magni Show,TV Show,Drama,Tamil,1990,6.9,94,True,163105
136,Vero Show,Movie,Thriller,Bengali,2019,7.3,73,False,167835
137,Excepturi Show,TV Show,Comedy,Telugu,2022,6.0,108,True,735220
138,Doloribus Show,TV Show,Horror,Bengali,2013,9.6,45,True,537188
139,Consectetur Show,Movie,Romance,Tamil,2003,7.1,47,True,679714
140,Dolores Show,Movie,Action,English,1994,9.4,46,True,396430
141,Id Show,TV Show,Horror,Hindi,2000,3.5,81,False,668700
142,Illo Show,Movie,Drama,Tamil,2013,7.1,85,True,223393
143,Accusamus Show,TV Show,Romance,Hindi,2020,8.0,122,True,148731
144,Voluptates Show,Movie,Horror,English,2002,8.2,38,False,408903
145,Doloribus Show,TV Show,Horror,Telugu,2005,9.2,174,True,515057
146,Reprehenderit Show,Movie,Sci-Fi,Tamil,2013,3.5,56,False,531841
147,Eligendi Show,Movie,Documentary,English,2002,3.5,66,True,599162
148,Nostrum Show,TV Show,Romance,Bengali,2013,6.5,51,False,643524
149,Eveniet Show,TV Show,Comedy,English,2015,3.7,101,False,761636
150,Illum Show,Movie,Romance,Bengali,1991,9.6,128,True,785204
151,Temporibus Show,TV Show,Comedy,Hindi,2005,4.9,101,False,128605
152,Adipisci Show,TV Show,Thriller,Bengali,1990,6.5,152,False,912265
153,Repellat Show,Movie,Comedy,Hindi,2000,3.9,120,True,935739
154,Explicabo Show,TV Show,Romance,Telugu,2018,6.8,65,True,206287
155,Consectetur Show,Movie,Comedy,Tamil,2006,5.9,127,False,248313
156,Dolorum Show,TV Show,Thriller,Tamil,2017,3.8,71,True,751968
157,Commodi Show,Movie,Action,Tamil,2018,5.6,140,True,510665
158,Quod Show,TV Show,Romance,Bengali,1992,6.0,42,True,307287
159,Amet Show,TV Show,Action,Tamil,1999,9.7,108,True,730671
