watch_id,user_id,show_id,watch_date,watch_duration,is_completed,device_type,city,rewatched_count,user_rating
1,4282,5840,2025-04-02,68,False,Laptop,Chennai,1,1
2,7609,1290,2024-07-18,11,True,Laptop,Hyderabad,2,5
3,9669,5386,2025-01-03,167,True,Laptop,Ahmedabad,4,3
4,8977,4056,2023-11-15,67,False,Mobile,Bangalore,2,4
5,7941,8446,2024-09-12,29,True,Mobile,Jaipur,0,3
6,3347,4997,2025-04-20,177,True,Tablet,Indore,3,4
7,4750,5915,2023-09-03,166,False,Tablet,Pune,2,4
8,9846,6350,2024-09-15,142,False,Tablet,Indore,3,3
9,6200,8515,2023-11-02,98,False,Smart TV,Chennai,4,1
10,8353,8965,2025-04-27,147,False,Laptop,Pune,0,1
11,5885,2056,2025-03-03,114,False,Laptop,Ahmedabad,3,4
12,8369,6625,2024-10-11,121,False,Mobile,Indore,1,2
13,4225,5587,2025-04-26,138,False,Tablet,Kolkata,2,4
14,5049,5829,2023-10-13,107,False,Smart TV,Kolkata,3,5
15,6048,8721,2023-11-20,23,False,Laptop,Jaipur,1,1
16,9650,1003,2025-05-03,162,True,Mobile,Jaipur,3,3
17,2773,5231,2024-07-29,30,False,Smart TV,Ahmedabad,4,4
18,5225,648,2025-02-21,25,True,Tablet,Pune,2,1
19,7670,7798,2024-09-22,169,False,Mobile,Ahmedabad,2,1
20,4271,9275,2024-11-09,73,True,Laptop,Pune,1,4
21,2791,1242,2024-11-23,93,True,Laptop,Indore,0,4
22,4320,4332,2025-05-02,82,False,Laptop,Ahmedabad,0,1
23,3126,5403,2024-08-31,69,False,Tablet,Bangalore,1,5
24,7719,794,2024-08-12,107,False,Laptop,Pune,3,3
25,3639,6135,2024-04-24,156,False,Tablet,Pune,0,4
26,9300,1475,2025-06-21,56,False,Laptop,Mumbai,2,4
27,5225,6762,2024-11-28,167,False,Mobile,Jaipur,1,2
28,4824,6784,2023-11-18,56,True,Laptop,Jaipur,1,4
29,998,9334,2024-01-30,42,True,Mobile,Indore,2,5
30,1630,7116,2024-10-04,30,True,Tablet,Kolkata,0,5
31,6473,2598,2024-12-18,104,True,Mobile,Kolkata,4,4
32,9961,1793,2024-10-08,72,False,Tablet,Mumbai,1,3
33,6669,4821,2023-09-01,51,False,Tablet,Hyderabad,3,3
34,8807,9956,2024-11-10,114,True,Smart TV,Bangalore,1,4
35,1177,6315,2025-05-26,135,True,Laptop,Chennai,4,4
36,1003,5205,2024-05-23,124,True,Laptop,Pune,2,5
37,1383,9889,2023-08-03,52,False,Tablet,Pune,0,2
38,6383,7849,2024-11-20,77,False,Smart TV,Mumbai,2,4
39,7529,5263,2024-08-28,35,False,Mobile,Indore,2,3
40,4451,9272,2024-02-25,170,True,Tablet,Kolkata,0,4
41,4854,5443,2023-09-29,117,False,Mobile,Chennai,2,1
42,7153,7123,2025-01-22,42,True,Mobile,Indore,2,5
43,8028,6794,2025-01-04,58,False,Tablet,Bangalore,1,5
44,5970,5167,2024-04-09,93,False,Smart TV,Hyderabad,3,2
45,9035,9418,2024-12-21,50,False,Mobile,Pune,0,3
46,3711,2153,2024-09-21,45,False,Tablet,Jaipur,1,4
47,6804,3940,2025-03-09,104,True,Smart TV,Mumbai,4,2
48,742,8911,2024-03-29,128,False,Smart TV,Ahmedabad,1,3
49,8297,4948,2025-05-24,159,False,Tablet,Kolkata,1,5
50,1732,4948,2024-04-24,92,True,Smart TV,Ahmedabad,2,1
51,4752,5004,2023-12-11,29,False,Tablet,Pune,3,4
52,9500,2579,2024-07-09,96,False,Mobile,Bangalore,1,3
53,9247,5973,2025-01-18,161,False,Smart TV,Mumbai,4,3
54,4289,7895,2024-01-06,135,False,Smart TV,Indore,2,4
55,7475,464,2023-08-30,109,True,Tablet,Indore,1,5
56,8390,9930,2025-01-12,82,True,Tablet,Mumbai,4,2
57,6465,2831,2025-03-22,25,False,Mobile,Mumbai,0,4
58,9194,8806,2024-02-15,36,False,Laptop,Chennai,1,3
